matchId,passEventId,passTeamId,passPlayerId,passTimeSeconds,startX,startY,endX,endY,becameShot,shotId_1,shotX_1,shotY_1,shotIsGoal_1,shotXG_1,shotId_2,shotX_2,shotY_2,shotIsGoal_2,shotXG_2,shotId_3,shotX_3,shotY_3,shotIsGoal_3,shotXG_3,shotId_4,shotX_4,shotY_4,shotIsGoal_4,shotXG_4,model_xG_1,model_xG_2,model_xG_3,model_xG_4
5588080,2263271304,1616,1712,3688,85,82,94,35,True,2263271310.0,85.0,49.0,False,0.07219,,,,,,,,,,,,,,,,0.10705128434430494,,,
5588080,2263271271,1611,40756,3895,47,84,54,90,True,2263271300.0,75.0,57.0,False,0.0171,,,,,,,,,,,,,,,,0.01175518895772465,,,
5588080,2263271273,1611,692543,3898,54,90,46,89,True,2263271300.0,75.0,57.0,False,0.0171,,,,,,,,,,,,,,,,0.004670375388959647,,,
5588080,2263271294,1611,349142,3901,59,90,57,95,True,2263271300.0,75.0,57.0,False,0.0171,,,,,,,,,,,,,,,,0.0013361141196739368,,,
5588080,2263271295,1611,692543,3902,57,95,49,78,True,2263271300.0,75.0,57.0,False,0.0171,,,,,,,,,,,,,,,,0.0012426860853805843,,,
5588080,2263271296,1611,40756,3905,49,78,65,77,True,2263271300.0,75.0,57.0,False,0.0171,,,,,,,,,,,,,,,,0.012893469387079415,,,
5588080,2263271360,1611,243588,4098,100,100,94,69,True,2263271362.0,80.0,66.0,False,0.04924,,,,,,,,,,,,,,,,0.004642140226139846,,,
5588080,2263271479,1616,240445,4250,34,71,45,68,True,2263271494.0,81.0,49.0,False,0.01826,,,,,,,,,,,,,,,,0.07993804400456267,,,
5588080,2263271483,1616,225947,4256,61,25,61,15,True,2263271494.0,81.0,49.0,False,0.01826,,,,,,,,,,,,,,,,0.05929038224425587,,,
5588080,2263271492,1616,9624,4262,81,19,81,49,True,2263271494.0,81.0,49.0,False,0.01826,,,,,,,,,,,,,,,,0.04508740849849696,,,
5588080,2263271513,1616,225947,4312,66,36,72,33,True,2263271517.0,74.0,54.0,False,0.01047,,,,,,,,,,,,,,,,-0.00023008273250124667,,,
5588080,2263271515,1616,240445,4312,72,33,74,54,True,2263271517.0,74.0,54.0,False,0.01047,,,,,,,,,,,,,,,,-0.004115298807498335,,,
5588080,2263271575,1616,240445,4530,100,100,85,38,True,2263271581.0,81.0,41.0,False,0.01756,,,,,,,,,,,,,,,,0.03113725142270446,,,
