player_id,player_name,team_id,position,position_provider,minutes_played_position,match_ids
606741,Jaden Philogene-Bidace,1634,Winger,LAMF,271.0,"[np.int64(5588141), np.int64(5588178), np.int64(5588305), np.int64(5588365), np.int64(5588393)]"
606741,Jaden Philogene-Bidace,1634,Winger,LW,29.0,[np.int64(5588294)]
606741,Jaden Philogene-Bidace,1634,Winger,RAMF,405.0,"[np.int64(5588135), np.int64(5588151), np.int64(5588184), np.int64(5588202), np.int64(5588211), np.int64(5588220), np.int64(5588315), np.int64(5588353), np.int64(5588371), np.int64(5588385)]"
606741,Jaden Philogene-Bidace,1634,Winger,RW,134.0,"[np.int64(5588086), np.int64(5588110), np.int64(5588191), np.int64(5588335)]"
604763,Iyenoma Destiny Udogie,1624,Full Back,LB,1935.0,"[np.int64(5588089), np.int64(5588098), np.int64(5588107), np.int64(5588118), np.int64(5588128), np.int64(5588136), np.int64(5588143), np.int64(5588158), np.int64(5588165), np.int64(5588178), np.int64(5588187), np.int64(5588197), np.int64(5588207), np.int64(5588212), np.int64(5588228), np.int64(5588238), np.int64(5588257), np.int64(5588268), np.int64(5588335), np.int64(5588343), np.int64(5588357), np.int64(5588364), np.int64(5588375), np.int64(5588414), np.int64(5588458)]"
604320,Jarrad Branthwaite,1623,Central Defender,LCB,2525.0,"[np.int64(5588134), np.int64(5588166), np.int64(5588177), np.int64(5588188), np.int64(5588193), np.int64(5588205), np.int64(5588213), np.int64(5588223), np.int64(5588230), np.int64(5588243), np.int64(5588255), np.int64(5588263), np.int64(5588271), np.int64(5588282), np.int64(5588293), np.int64(5588302), np.int64(5588314), np.int64(5588322), np.int64(5588333), np.int64(5588340), np.int64(5588359), np.int64(5588363), np.int64(5588379), np.int64(5588383), np.int64(5588397), np.int64(5588403), np.int64(5588413), np.int64(5588426), np.int64(5588431), np.int64(5588446)]"
601998,Toby Collyer,1611,Midfielder,LDMF,49.0,[np.int64(5588106)]
601998,Toby Collyer,1611,Midfielder,RCMF,148.0,"[np.int64(5588289), np.int64(5588296), np.int64(5588304), np.int64(5588366)]"
601998,Toby Collyer,1611,Winger,LWF,18.0,[np.int64(5588355)]
601257,Naouirou Ahamada,3774,,Unknown,0.0,[]
600902,Issa Kaboré,2443,,Unknown,0.0,[]
600432,Jhon Jader Durán Palacios,16470,Midfielder,AMF,99.0,"[np.int64(5588161), np.int64(5588178), np.int64(5588202)]"
600432,Jhon Jader Durán Palacios,16470,Striker,CF,537.0,"[np.int64(5588086), np.int64(5588090), np.int64(5588105), np.int64(5588110), np.int64(5588135), np.int64(5588151), np.int64(5588184), np.int64(5588211), np.int64(5588220), np.int64(5588237), np.int64(5588240), np.int64(5588256), np.int64(5588290), np.int64(5588300)]"
600432,Jhon Jader Durán Palacios,16470,Striker,SS,102.0,"[np.int64(5588120), np.int64(5588141), np.int64(5588191)]"
600189,Julio Cesar Enciso Espinola,1634,Midfielder,AMF,533.0,"[np.int64(5588100), np.int64(5588143), np.int64(5588232), np.int64(5588252), np.int64(5588260), np.int64(5588315), np.int64(5588353), np.int64(5588365), np.int64(5588393)]"
600189,Julio Cesar Enciso Espinola,1634,Midfielder,LCMF3,25.0,[np.int64(5588112)]
600189,Julio Cesar Enciso Espinola,1634,Striker,CF,46.0,"[np.int64(5588155), np.int64(5588249)]"
600189,Julio Cesar Enciso Espinola,1634,Striker,SS,210.0,"[np.int64(5588092), np.int64(5588296), np.int64(5588405), np.int64(5588416), np.int64(5588447)]"
600189,Julio Cesar Enciso Espinola,1634,Winger,LAMF,342.0,"[np.int64(5588371), np.int64(5588385), np.int64(5588426), np.int64(5588432)]"
600189,Julio Cesar Enciso Espinola,1634,Winger,LW,24.0,"[np.int64(5588163), np.int64(5588320)]"
600189,Julio Cesar Enciso Espinola,1634,Winger,LWF,24.0,[np.int64(5588133)]
600189,Julio Cesar Enciso Espinola,1634,Winger,RW,15.0,[np.int64(5588305)]
600184,Enzo Jeremías Fernández,1610,Midfielder,AMF,270.0,"[np.int64(5588088), np.int64(5588331), np.int64(5588360)]"
600184,Enzo Jeremías Fernández,1610,Midfielder,LCMF,25.0,[np.int64(5588174)]
600184,Enzo Jeremías Fernández,1610,Midfielder,LDMF,1419.0,"[np.int64(5588099), np.int64(5588102), np.int64(5588129), np.int64(5588133), np.int64(5588144), np.int64(5588153), np.int64(5588164), np.int64(5588182), np.int64(5588202), np.int64(5588228), np.int64(5588233), np.int64(5588243), np.int64(5588265), np.int64(5588273), np.int64(5588287), np.int64(5588306), np.int64(5588413), np.int64(5588424)]"
600184,Enzo Jeremías Fernández,1610,Midfielder,RCMF,90.0,[np.int64(5588313)]
600184,Enzo Jeremías Fernández,1610,Midfielder,RDMF,1079.0,"[np.int64(5588196), np.int64(5588219), np.int64(5588253), np.int64(5588321), np.int64(5588347), np.int64(5588352), np.int64(5588375), np.int64(5588381), np.int64(5588393), np.int64(5588404), np.int64(5588444), np.int64(5588456)]"
600184,Enzo Jeremías Fernández,1610,Winger,LW,90.0,[np.int64(5588435)]
599817,João Pedro Junqueira de Jesus,1651,Midfielder,AMF,377.0,"[np.int64(5588083), np.int64(5588100), np.int64(5588121), np.int64(5588249), np.int64(5588302)]"
599817,João Pedro Junqueira de Jesus,1651,Midfielder,LCMF,177.0,"[np.int64(5588318), np.int64(5588382), np.int64(5588392)]"
