matchId,passEventId,passTeamId,passPlayerId,passTimeSeconds,startX,startY,endX,endY,becameShot,dist_to_goal,log_dist_to_goal,goal_angle
5588080,2263270249,1616,488326,467,75,47,82,70,True,26.90724809414742,3.3288864434088734,0.7005583163021043
5588080,2263270347,1616,240445,732,28,71,45,80,True,62.64982043070834,4.153396503800824,0.3637796562775515
5588080,2263271903,1616,240445,790,100,100,88,56,True,13.416407864998739,2.6683669929878664,1.5355545137292883
5588080,2263270446,1611,488453,1175,46,47,97,32,True,18.24828759089466,2.9574221004597847,0.44394572508799723
5588080,2263270539,1611,243588,1421,69,82,86,60,True,17.204650534085253,2.901677085292929,1.2351008191283959
5588080,2263270594,1611,346139,1579,80,28,75,51,True,25.019992006393608,3.258865165874228,0.9580082970739456
5588080,2263270618,1611,40756,1696,76,62,87,66,True,20.615528128088304,3.073411951227919,0.9225782718532065
5588080,2263270760,1611,346139,2040,75,56,77,66,True,28.0178514522438,3.3679112079213787,0.7705722316584354
5588080,2263270790,1611,583656,2181,100,100,95,40,True,11.180339887498949,2.499823167269985,1.8971551435016591
5588080,2263270873,1611,243588,2490,70,10,81,36,True,23.600847442411894,3.2027808912235005,0.9050059163094456
5588080,2263271071,1616,240445,2833,100,0,91,40,True,13.45362404707371,2.67094518221905,1.5195591593914777
5588080,2263271085,1616,240445,2948,100,0,97,42,True,8.54400374531753,2.2559130772219347,2.459276098715045
5588080,2263271099,1611,243588,3168,37,22,85,14,True,39.0,3.6888794541139363,0.2808377246212028
5588080,2263271140,1611,346139,3331,87,35,78,43,True,23.08679276123039,3.1816636720735407,1.0040671092713902
5588080,2263271304,1616,1712,3688,85,82,94,35,True,16.15549442140351,2.8423184967288817,1.037952439175508
5588080,2263271296,1611,40756,3905,49,78,65,77,True,44.204072210600685,3.8111871759349234,0.47145995006090724
5588080,2263271360,1611,243588,4098,100,100,94,69,True,19.924858845171276,3.04093787060231,0.6000502134017536
5588080,2263271492,1616,9624,4262,81,19,81,49,True,19.026297590440446,2.997046289378957,1.1983429968822819
5588080,2263271513,1616,225947,4312,66,36,72,33,True,32.7566787083184,3.5191782853952382,0.6779702097927924
5588080,2263271577,1616,447424,4533,85,38,85,43,True,16.55294535724685,2.8652217624543144,1.3078015951139772
5588080,2263271545,1611,692543,4768,75,74,81,38,True,22.47220505424423,3.1558169574839825,0.9735089389938908
5588080,2263271668,1611,692543,5209,87,84,90,62,True,15.620499351813308,2.8106368342114108,1.2899586021736937
5588080,2263271774,1611,488453,5620,47,8,74,28,True,34.058772731852805,3.5570258740844225,0.5986380406793368
5588081,2264027954,1612,346101,956,71,38,73,66,True,31.38470965295043,3.477686387115315,0.7104400549028766
5588081,2264028258,1634,11270,1164,79,90,92,41,True,12.041594578792296,2.568143832672187,1.6856729322117958
5588081,2264028098,1612,222220,1845,100,100,94,42,True,10.0,2.3978952727983707,1.9872349439864885
5588081,2264028487,1634,580755,1854,30,43,65,71,True,40.8166632639171,3.733294902771272,0.5461952559173057
5588081,2264028668,1634,656947,2428,93,11,90,45,True,11.180339887498949,2.499823167269985,1.7384387646261124
5588081,2264028318,1612,431967,2683,82,57,91,70,True,21.93171219946131,3.132520764795627,0.6435011087932844
5588081,2264028403,1612,431967,2794,89,56,88,65,True,19.209372712298546,3.006146492452804,1.0007558630951863
5588081,2264028439,1612,476382,2858,53,90,57,79,True,51.86520991955976,3.9677454650374733,0.4174143448515394
5588081,2264028552,1612,346101,3286,86,51,95,46,True,6.4031242374328485,2.001902105358892,2.348442707480138
5588081,2264028609,1612,431967,3481,92,24,85,40,True,18.027756377319946,2.945898775109889,1.1902899496825317
5588081,2264028628,1612,346101,3495,89,87,90,45,True,11.180339887498949,2.499823167269985,1.7384387646261124
5588081,2264028662,1612,120353,3565,83,68,89,44,True,12.529964086141668,2.6049067877920096,1.6127297726682956
5588081,2264028773,1612,476382,3886,86,63,91,66,True,18.35755975068582,2.9630830279683247,0.9481255380378293
5588081,2264029412,1634,592655,4032,92,7,95,44,True,7.810249675906654,2.175915779604025,2.2640194526358832
5588081,2264028871,1612,476382,4215,66,58,87,40,True,16.401219466856727,2.856540288066804,1.2831438617897546
5588081,2264028981,1612,222220,4654,87,21,92,43,True,10.63014581273465,2.4536005040903826,1.833791058475816
5588081,2264029101,1612,476382,5270,55,49,63,20,True,47.634021455258214,3.8843233159433597,0.4295654997217072
5588081,2264029218,1612,476382,5516,100,0,93,43,True,9.899494936611665,2.3887164520708755,1.9427477795358397
5588081,2264029248,1612,419213,5582,95,26,94,57,True,9.219544457292887,2.324302010131721,2.064737695714478
5588081,2264029254,1612,431967,5599,86,63,96,56,True,7.211102550927978,2.1054872081052394,2.4149503129080676
5588081,2264029726,1634,11270,5827,88,73,97,47,True,4.242640687119285,1.656825319317369,2.6647879091162316
5588081,2264029733,1634,282877,5837,81,27,94,36,True,15.231546211727817,2.7869566457335035,1.1869787035063277
5588082,2263914046,1629,474104,300,97,74,91,55,True,10.295630140987,2.4244159377384764,1.833791058475816
5588082,2263914249,1609,217031,795,77,29,77,51,True,23.021728866442675,3.1789587901833576,1.0276761210845833
5588082,2263914264,1609,217031,834,66,67,80,68,True,26.90724809414742,3.3288864434088734,0.7528515207793264
5588082,2263914270,1609,217031,841,79,75,91,72,True,23.769728648009426,3.209622288576888,0.5337081916392616
5588082,2263914296,1609,555939,916,86,29,85,46,True,15.524174696260024,2.8048244417529014,1.3882364736639898
5588082,2263914327,1609,520291,1073,76,65,86,55,True,14.866068747318506,2.764182787866674,1.4288992721907325
