player_id,player_name,team_id,position,total_minutes_played,total_matches_played,match_ids
8501,J. Schlupp,1628,Midfielder,67,4,"5588093,5588134,5588183,5588203"
8501,J. Schlupp,1628,Striker,17,2,"5588122,5588242"
8501,J. Schlupp,1628,Winger,73,5,"5588102,5588156,5588179,5588191,5588299"
8580,A. McCarthy,1619,Goalkeeper,450,5,"5588084,5588097,5588199,5588238,5588307"
8582,A. Cresswell,1633,Central Defender,807,12,"5588169,5588258,5588299,5588300,5588313,5588330,5588344,5588358,5588374,5588429,5588434,5588449"
8582,A. Cresswell,1633,Full Back,69,6,"5588093,5588129,5588149,5588229,5588286,5588452"
8653,H. Maguire,1611,Central Defender,1795,26,"5588080,5588092,5588106,5588117,5588141,5588205,5588210,5588227,5588235,5588247,5588259,5588267,5588275,5588289,5588296,5588304,5588316,5588328,5588333,5588349,5588387,5588411,5588422,5588434,5588444,5588454"
8653,H. Maguire,1611,Striker,8,1,5588373
8677,M. Antonio,1633,Midfielder,37,1,5588216
8677,M. Antonio,1633,Striker,824,13,"5588086,5588093,5588109,5588114,5588129,5588132,5588149,5588158,5588169,5588176,5588188,5588198,5588208"
8944,B. Mee,1669,,9,1,5588362
8944,B. Mee,1669,Central Defender,196,5,"5588171,5588221,5588241,5588252,5588303"
8944,B. Mee,1669,Full Back,5,1,5588087
8945,K. Trippier,1613,Central Defender,125,2,"5588326,5588368"
8945,K. Trippier,1613,Full Back,1247,23,"5588091,5588119,5588123,5588137,5588146,5588198,5588221,5588236,5588245,5588256,5588267,5588288,5588297,5588317,5588348,5588358,5588377,5588386,5588396,5588400,5588416,5588423,5588455"
8955,D. Ings,1633,Midfielder,50,4,"5588086,5588114,5588276,5588358"
8955,D. Ings,1633,Striker,276,9,"5588132,5588169,5588188,5588198,5588208,5588216,5588229,5588286,5588299"
8955,D. Ings,1633,Winger,46,2,"5588300,5588313"
8981,W. Hughes,1628,Midfielder,2180,33,"5588087,5588102,5588113,5588122,5588134,5588145,5588156,5588165,5588179,5588191,5588203,5588215,5588222,5588232,5588242,5588251,5588262,5588284,5588299,5588303,5588316,5588322,5588334,5588346,5588368,5588382,5588395,5588402,5588410,5588425,5588438,5588445,5588453"
9022,C. Walton,1634,Goalkeeper,630,7,"5588081,5588265,5588274,5588283,5588294,5588305,5588452"
9097,L. Dunk,1651,Central Defender,2102,25,"5588083,5588092,5588100,5588112,5588121,5588133,5588143,5588155,5588201,5588214,5588226,5588232,5588249,5588252,5588260,5588283,5588296,5588302,5588318,5588372,5588382,5588392,5588401,5588412,5588423"
9164,C. Taylor,1619,Central Defender,139,2,"5588277,5588457"
9164,C. Taylor,1619,Full Back,253,6,"5588097,5588127,5588131,5588140,5588157,5588219"
9206,C. Wood,1642,Striker,2970,36,"5588085,5588097,5588108,5588115,5588121,5588138,5588144,5588156,5588167,5588176,5588186,5588190,5588206,5588217,5588227,5588237,5588241,5588257,5588263,5588279,5588285,5588298,5588301,5588318,5588323,5588338,5588342,5588356,5588365,5588397,5588408,5588417,5588425,5588436,5588449,5588456"
9380,J. Stones,1625,,2,1,5588168
9380,J. Stones,1625,Central Defender,525,9,"5588116,5588126,5588148,5588159,5588197,5588240,5588306,5588310,5588326"
9380,J. Stones,1625,Midfielder,45,1,5588096
9433,J. Tarkowski,1623,Central Defender,2922,33,"5588083,5588098,5588103,5588110,5588124,5588134,5588146,5588152,5588166,5588177,5588188,5588193,5588205,5588213,5588223,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588322,5588333,5588340,5588359,5588363,5588379,5588383,5588397,5588403"
9624,T. Cairney,1616,Midfielder,810,25,"5588080,5588094,5588104,5588114,5588148,5588151,5588171,5588183,5588194,5588207,5588244,5588253,5588264,5588274,5588286,5588295,5588304,5588334,5588364,5588391,5588404,5588418,5588431,5588442,5588451"
9683,C. Townsend,1634,Full Back,343,5,"5588305,5588320,5588371,5588385,5588393"
9683,C. Townsend,1634,Midfielder,9,1,5588162
9956,D. Bentley,1629,Goalkeeper,180,2,"5588407,5588445"
10131,J. Pickford,1623,Goalkeeper,3420,38,"5588083,5588098,5588103,5588110,5588124,5588134,5588146,5588152,5588166,5588177,5588188,5588193,5588205,5588213,5588223,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588322,5588333,5588340,5588359,5588363,5588379,5588383,5588397,5588403,5588413,5588426,5588431,5588446,5588455"
10153,S. Johnstone,1629,Goalkeeper,630,7,"5588108,5588119,5588120,5588139,5588142,5588229,5588239"
11051,J. Grealish,1625,Full Back,95,2,"5588096,5588109"
11051,J. Grealish,1625,Midfielder,225,5,"5588204,5588217,5588376,5588387,5588395"
11051,J. Grealish,1625,Winger,460,13,"5588116,5588126,5588137,5588148,5588159,5588197,5588222,5588235,5588240,5588276,5588294,5588343,5588448"
11066,R. Sterling,1609,Midfielder,14,1,5588118
11066,R. Sterling,1609,Striker,3,1,5588310
11066,R. Sterling,1609,Winger,533,15,"5588130,5588140,5588150,5588190,5588208,5588280,5588290,5588324,5588330,5588342,5588383,5588405,5588410,5588420,5588457"
11270,Sam Morsy,1634,Midfielder,2770,33,"5588081,5588096,5588104,5588112,5588127,5588135,5588149,5588152,5588172,5588187,5588195,5588206,5588215,5588225,5588239,5588245,5588265,5588274,5588283,5588294,5588305,5588315,5588335,5588349,5588371,5588385,5588393,5588405,5588416,5588426,5588432,5588447,5588452"
11669,C. Wilson,1613,,20,1,5588396
11669,C. Wilson,1613,Striker,399,16,"5588198,5588203,5588218,5588221,5588326,5588338,5588348,5588358,5588368,5588377,5588386,5588400,5588416,5588423,5588435,5588440"
11669,C. Wilson,1613,Winger,28,1,5588455
12242,N. Pope,1613,Goalkeeper,2520,28,"5588084,5588091,5588107,5588119,5588123,5588137,5588146,5588155,5588164,5588175,5588186,5588198,5588203,5588218,5588221,5588338,5588348,5588358,5588368,5588377,5588386,5588396,5588400,5588416,5588423,5588435,5588440,5588455"
12379,B. Godfrey,1634,Central Defender,64,1,5588294
12379,B. Godfrey,1634,Full Back,100,2,"5588335,5588416"
12829,J. Vardy,1631,Striker,2827,35,"5588089,5588094,5588105,5588113,5588124,5588130,5588147,5588157,5588167,5588172,5588196,5588200,5588216,5588226,5588236,5588246,5588266,5588270,5588284,5588295,5588308,5588314,5588324,5588336,5588344,5588352,5588366,5588376,5588386,5588392,5588406,5588419,5588427,5588436,5588447"
14705,N. Füllkrug,1633,Midfielder,42,1,5588231
14705,N. Füllkrug,1633,Striker,799,16,"5588086,5588093,5588109,5588249,5588258,5588269,5588276,5588374,5588389,5588394,5588409,5588412,5588429,5588434,5588449,5588452"
14705,N. Füllkrug,1633,Winger,20,1,5588216
14768,B. Leno,1616,Goalkeeper,3420,38,"5588080,5588094,5588104,5588114,5588123,5588138,5588148,5588151,5588166,5588171,5588183,5588194,5588207,5588214,5588224,5588234,5588244,5588253,5588264,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588351,5588364,5588370,5588384,5588391,5588404,5588418,5588421,5588431,5588442,5588451"
14808,İ. Gündoğan,1625,,5,1,5588343
14808,İ. Gündoğan,1625,Midfielder,2174,31,"5588096,5588109,5588116,5588126,5588137,5588148,5588159,5588168,5588170,5588181,5588197,5588204,5588217,5588222,5588235,5588240,5588255,5588276,5588281,5588294,5588306,5588326,5588337,5588367,5588376,5588387,5588403,5588415,5588428,5588448,5588451"
14808,İ. Gündoğan,1625,Winger,90,1,5588395
14911,Son Heung-Min,1624,Striker,125,2,"5588098,5588438"
14911,Son Heung-Min,1624,Winger,2031,28,"5588089,5588107,5588118,5588128,5588158,5588178,5588187,5588197,5588207,5588212,5588228,5588238,5588248,5588257,5588268,5588278,5588280,5588293,5588308,5588312,5588328,5588335,5588343,5588357,5588364,5588375,5588388,5588441"
15146,S. Ortega,1625,Goalkeeper,1106,13,"5588204,5588217,5588222,5588240,5588255,5588266,5588276,5588281,5588310,5588367,5588395,5588403,5588415"
15806,J. Vestergaard,1631,Central Defender,1396,18,"5588089,5588094,5588172,5588185,5588200,5588216,5588226,5588236,5588246,5588254,5588266,5588270,5588284,5588295,5588308,5588314,5588336,5588344"
20922,Neto,1659,Goalkeeper,180,2,"5588085,5588091"
21315,Jorginho,1609,Midfielder,731,15,"5588118,5588140,5588175,5588190,5588208,5588210,5588224,5588230,5588261,5588272,5588324,5588342,5588383,5588390,5588440"
25418,A. Aréola,1633,Goalkeeper,2267,26,"5588086,5588093,5588109,5588114,5588129,5588132,5588149,5588158,5588258,5588269,5588276,5588300,5588313,5588329,5588330,5588344,5588358,5588363,5588374,5588389,5588394,5588409,5588412,5588429,5588434,5588449"
25486,W. Boly,1642,Central Defender,170,5,"5588085,5588097,5588263,5588318,5588380"
25486,W. Boly,1642,Midfielder,4,1,5588237
25571,J. Ayew,1628,Striker,24,1,5588087
25571,J. Ayew,1631,Midfielder,488,8,"5588147,5588157,5588200,5588216,5588427,5588436,5588447,5588450"
25571,J. Ayew,1631,Striker,132,3,"5588094,5588185,5588376"
25571,J. Ayew,1631,Winger,1093,19,"5588105,5588113,5588124,5588130,5588167,5588172,5588196,5588226,5588246,5588254,5588270,5588284,5588295,5588308,5588314,5588324,5588336,5588366,5588419"
25701,L. Digne,1614,Central Defender,90,1,5588300
25701,L. Digne,1614,Full Back,2297,31,"5588086,5588090,5588105,5588110,5588120,5588135,5588141,5588151,5588161,5588178,5588184,5588191,5588202,5588211,5588220,5588237,5588240,5588256,5588260,5588270,5588282,5588290,5588319,5588320,5588346,5588350,5588361,5588372,5588415,5588421,5588430"
25706,I. Gueye,1623,Midfielder,3072,37,"5588083,5588098,5588103,5588110,5588134,5588146,5588152,5588166,5588177,5588188,5588193,5588205,5588213,5588223,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588322,5588333,5588340,5588359,5588363,5588379,5588383,5588397,5588403,5588413,5588426,5588431,5588446,5588455"
28292,A. Doucouré,1623,Midfielder,2349,30,"5588098,5588103,5588124,5588134,5588146,5588152,5588166,5588188,5588193,5588205,5588213,5588230,5588243,5588255,5588263,5588271,5588282,5588293,5588302,5588314,5588333,5588359,5588363,5588379,5588383,5588397,5588413,5588431,5588446,5588455"
28292,A. Doucouré,1623,Striker,242,3,"5588083,5588223,5588403"
29640,M. Lemina,1629,Central Defender,270,3,"5588194,5588209,5588213"
29640,M. Lemina,1629,Midfielder,1017,13,"5588082,5588099,5588108,5588120,5588139,5588142,5588159,5588163,5588179,5588189,5588229,5588239,5588279"
29640,M. Lemina,1629,Winger,90,1,5588119
37897,M. Sels,1642,Goalkeeper,3420,38,"5588085,5588097,5588108,5588115,5588121,5588138,5588144,5588156,5588167,5588176,5588186,5588190,5588206,5588217,5588227,5588237,5588241,5588257,5588263,5588279,5588285,5588298,5588301,5588318,5588323,5588338,5588342,5588356,5588365,5588373,5588380,5588397,5588408,5588417,5588425,5588436,5588449,5588456"
38021,K. De Bruyne,1625,Midfielder,1554,25,"5588088,5588096,5588109,5588116,5588181,5588197,5588204,5588217,5588222,5588235,5588255,5588266,5588276,5588281,5588294,5588310,5588337,5588356,5588367,5588387,5588395,5588403,5588437,5588448,5588451"
38021,K. De Bruyne,1625,Striker,171,2,"5588415,5588428"
38021,K. De Bruyne,1625,Winger,21,1,5588306
40756,Casemiro,1611,Central Defender,11,1,5588117
40756,Casemiro,1611,Midfielder,1529,23,"5588080,5588092,5588106,5588136,5588141,5588154,5588169,5588174,5588185,5588195,5588205,5588259,5588267,5588328,5588333,5588349,5588355,5588366,5588373,5588387,5588411,5588444,5588454"
40787,Emerson Palmieri,1633,Full Back,2155,31,"5588086,5588093,5588109,5588114,5588129,5588132,5588149,5588158,5588169,5588176,5588188,5588198,5588208,5588216,5588229,5588249,5588258,5588269,5588286,5588299,5588300,5588313,5588329,5588344,5588363,5588374,5588389,5588409,5588412,5588429,5588434"
50102,F. Schär,1613,Central Defender,2945,34,"5588084,5588119,5588123,5588137,5588146,5588155,5588164,5588175,5588186,5588198,5588203,5588218,5588221,5588236,5588245,5588256,5588267,5588297,5588307,5588317,5588326,5588338,5588348,5588358,5588368,5588377,5588386,5588396,5588400,5588416,5588423,5588435,5588440,5588455"
50798,R. Olsen,1614,Goalkeeper,233,4,"5588202,5588346,5588350,5588454"
51064,E. Krafth,1613,Central Defender,321,7,"5588084,5588091,5588107,5588326,5588368,5588400,5588440"
51064,E. Krafth,1613,Full Back,73,5,"5588377,5588386,5588396,5588423,5588435"
56262,C. Nørgaard,1669,Midfielder,2830,34,"5588087,5588095,5588101,5588116,5588142,5588154,5588162,5588171,5588180,5588193,5588200,5588221,5588233,5588241,5588252,5588261,5588277,5588281,5588291,5588303,5588312,5588329,5588336,5588350,5588362,5588377,5588381,5588390,5588401,5588417,5588422,5588432,5588442,5588459"
61941,F. Forster,1624,Goalkeeper,630,7,"5588207,5588212,5588228,5588238,5588248,5588257,5588268"
62126,M. Doherty,1629,Central Defender,1661,20,"5588246,5588259,5588268,5588279,5588288,5588292,5588309,5588319,5588325,5588332,5588345,5588359,5588369,5588374,5588385,5588399,5588419,5588428,5588439,5588459"
62126,M. Doherty,1629,Full Back,483,10,"5588082,5588099,5588108,5588119,5588189,5588194,5588213,5588229,5588239,5588407"
62224,R. Fraser,1619,Central Defender,6,1,5588307
62224,R. Fraser,1619,Full Back,115,2,"5588199,5588201"
62224,R. Fraser,1619,Winger,271,5,"5588117,5588127,5588131,5588157,5588219"
69404,M. Kovačić,1625,Midfielder,2234,31,"5588088,5588096,5588109,5588116,5588126,5588137,5588148,5588159,5588168,5588170,5588181,5588235,5588240,5588255,5588266,5588276,5588281,5588294,5588306,5588310,5588326,5588337,5588343,5588356,5588387,5588395,5588403,5588415,5588428,5588437,5588448"
70381,Ricardo Pereira,1631,Full Back,368,7,"5588167,5588172,5588386,5588392,5588406,5588419,5588447"
70381,Ricardo Pereira,1631,Midfielder,55,3,"5588352,5588376,5588450"
71654,Ederson,1625,Goalkeeper,2321,26,"5588088,5588096,5588109,5588116,5588126,5588137,5588148,5588159,5588168,5588170,5588181,5588197,5588235,5588294,5588306,5588326,5588337,5588343,5588356,5588376,5588387,5588395,5588428,5588437,5588448,5588451"
71703,V. Lindelöf,1611,,4,1,5588349
71703,V. Lindelöf,1611,Central Defender,699,13,"5588154,5588169,5588235,5588355,5588366,5588387,5588396,5588407,5588411,5588422,5588434,5588444,5588454"
71703,V. Lindelöf,1611,Full Back,51,1,5588141
71703,V. Lindelöf,1611,Midfielder,12,1,5588174
83150,V. Coufal,1633,Central Defender,227,5,"5588249,5588300,5588313,5588429,5588452"
83150,V. Coufal,1633,Full Back,894,17,"5588086,5588093,5588109,5588114,5588188,5588198,5588208,5588216,5588231,5588258,5588269,5588276,5588394,5588409,5588412,5588434,5588449"
95349,W. Endo,1612,Central Defender,26,1,5588453
95349,W. Endo,1612,Full Back,37,2,"5588414,5588443"
95349,W. Endo,1612,Midfielder,306,17,"5588095,5588145,5588160,5588173,5588184,5588199,5588254,5588269,5588305,5588311,5588325,5588337,5588348,5588354,5588379,5588394,5588424"
104851,M. Dúbravka,1613,Goalkeeper,900,10,"5588236,5588245,5588256,5588267,5588278,5588288,5588297,5588307,5588317,5588326"
105333,Willian,1616,Midfielder,49,2,"5588351,5588370"
105333,Willian,1616,Winger,265,8,"5588323,5588334,5588345,5588364,5588391,5588418,5588421,5588431"
112392,R. Jiménez,1616,Striker,2538,38,"5588080,5588094,5588104,5588114,5588123,5588138,5588148,5588151,5588166,5588171,5588183,5588194,5588207,5588214,5588224,5588234,5588244,5588253,5588264,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588351,5588364,5588370,5588384,5588391,5588404,5588418,5588421,5588431,5588442,5588451"
120353,Mohamed Salah,1612,Winger,3376,38,"5588081,5588095,5588106,5588115,5588125,5588139,5588145,5588153,5588160,5588173,5588184,5588199,5588204,5588218,5588223,5588234,5588248,5588254,5588269,5588275,5588285,5588291,5588305,5588311,5588325,5588337,5588348,5588354,5588361,5588379,5588384,5588394,5588406,5588414,5588424,5588433,5588443,5588453"
134102,N. Aké,1625,Central Defender,597,9,"5588109,5588170,5588197,5588217,5588255,5588266,5588276,5588281,5588337"
134102,N. Aké,1625,Full Back,90,1,5588204
134717,L. Trossard,1609,Striker,1057,14,"5588126,5588130,5588140,5588160,5588175,5588324,5588370,5588383,5588390,5588405,5588410,5588420,5588433,5588440"
134717,L. Trossard,1609,Winger,1553,24,"5588082,5588090,5588100,5588118,5588150,5588182,5588190,5588208,5588210,5588224,5588230,5588242,5588250,5588261,5588272,5588280,5588290,5588309,5588310,5588330,5588342,5588355,5588360,5588457"
136441,B. Davies,1624,Central Defender,1350,17,"5588178,5588197,5588207,5588212,5588293,5588308,5588312,5588328,5588364,5588388,5588399,5588408,5588414,5588429,5588438,5588441,5588458"
136509,D. Ward,1631,Goalkeeper,137,2,"5588236,5588246"
145787,J. Andersen,1616,Central Defender,2583,29,"5588114,5588123,5588138,5588148,5588151,5588171,5588183,5588194,5588253,5588264,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588351,5588364,5588370,5588384,5588391,5588404,5588418,5588421,5588431,5588442,5588451"
145787,J. Andersen,1628,Central Defender,90,1,5588087
173214,T. Werner,1624,Midfielder,37,3,"5588118,5588197,5588212"
173214,T. Werner,1624,Winger,560,15,"5588089,5588107,5588136,5588143,5588158,5588165,5588187,5588207,5588228,5588238,5588248,5588257,5588268,5588278,5588343"
192755,B. De Cordova-Reid,1631,Full Back,7,1,5588270
192755,B. De Cordova-Reid,1631,Midfielder,62,3,"5588105,5588200,5588246"
192755,B. De Cordova-Reid,1631,Striker,13,1,5588236
192755,B. De Cordova-Reid,1631,Winger,740,18,"5588089,5588094,5588130,5588147,5588157,5588196,5588216,5588226,5588254,5588308,5588314,5588324,5588336,5588344,5588352,5588392,5588406,5588419"
192792,D. Burn,1613,Central Defender,3330,37,"5588084,5588091,5588107,5588119,5588123,5588137,5588146,5588155,5588164,5588175,5588186,5588203,5588218,5588221,5588236,5588245,5588256,5588267,5588278,5588288,5588297,5588307,5588317,5588326,5588338,5588348,5588358,5588368,5588377,5588386,5588396,5588400,5588416,5588423,5588435,5588440,5588455"
213312,M. Almirón,1613,Winger,193,9,"5588091,5588107,5588146,5588155,5588164,5588221,5588245,5588288,5588307"
214220,Alisson,1612,Goalkeeper,2510,28,"5588081,5588095,5588106,5588115,5588139,5588145,5588223,5588234,5588248,5588254,5588269,5588275,5588285,5588291,5588305,5588311,5588325,5588337,5588348,5588354,5588361,5588394,5588406,5588414,5588424,5588433,5588443,5588453"
217031,T. Partey,1609,Full Back,625,8,"5588140,5588160,5588175,5588224,5588230,5588272,5588290,5588390"
217031,T. Partey,1609,Midfielder,2194,27,"5588082,5588090,5588100,5588118,5588126,5588130,5588150,5588182,5588190,5588210,5588242,5588250,5588261,5588280,5588309,5588310,5588324,5588330,5588342,5588355,5588360,5588370,5588410,5588420,5588433,5588440,5588457"
219526,M. Flekken,1669,Goalkeeper,3276,37,"5588087,5588095,5588101,5588116,5588128,5588132,5588142,5588154,5588162,5588171,5588180,5588193,5588200,5588211,5588221,5588233,5588241,5588252,5588261,5588277,5588281,5588291,5588303,5588329,5588336,5588340,5588350,5588362,5588377,5588381,5588390,5588401,5588417,5588422,5588432,5588442,5588459"
222220,A. Robertson,1612,Full Back,2516,33,"5588081,5588095,5588106,5588115,5588125,5588139,5588145,5588153,5588160,5588184,5588199,5588204,5588218,5588223,5588234,5588248,5588254,5588269,5588275,5588285,5588291,5588305,5588311,5588325,5588337,5588354,5588361,5588379,5588384,5588394,5588414,5588433,5588453"
222770,Nélson Semedo,1629,Central Defender,230,3,"5588229,5588239,5588445"
222770,Nélson Semedo,1629,Full Back,2674,31,"5588108,5588119,5588120,5588139,5588142,5588159,5588163,5588179,5588189,5588194,5588209,5588246,5588259,5588268,5588288,5588292,5588309,5588319,5588325,5588332,5588345,5588359,5588369,5588374,5588385,5588399,5588407,5588419,5588428,5588439,5588459"
223794,J. McGinn,1614,Midfielder,793,10,"5588211,5588220,5588260,5588319,5588320,5588331,5588346,5588350,5588361,5588380"
223794,J. McGinn,1614,Striker,115,2,"5588372,5588430"
223794,J. McGinn,1614,Winger,1364,22,"5588086,5588090,5588105,5588110,5588120,5588151,5588161,5588178,5588184,5588191,5588202,5588237,5588240,5588256,5588270,5588300,5588398,5588400,5588415,5588421,5588441,5588454"
225947,Adama Traoré,1616,Full Back,18,1,5588274
225947,Adama Traoré,1616,Midfielder,101,2,"5588370,5588431"
225947,Adama Traoré,1616,Winger,1769,33,"5588080,5588094,5588104,5588114,5588123,5588138,5588148,5588151,5588166,5588171,5588183,5588194,5588214,5588224,5588234,5588244,5588253,5588264,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588364,5588384,5588391,5588404,5588418,5588421,5588442,5588451"
227085,José Sá,1629,Goalkeeper,2610,29,"5588082,5588099,5588159,5588163,5588179,5588189,5588194,5588209,5588213,5588246,5588259,5588268,5588279,5588288,5588292,5588309,5588319,5588325,5588332,5588345,5588359,5588369,5588374,5588385,5588399,5588419,5588428,5588439,5588459"
228946,M. Cornet,1619,Winger,79,2,"5588117,5588131"
230020,A. Iwobi,1616,Full Back,77,1,5588148
230020,A. Iwobi,1616,Midfielder,477,6,"5588214,5588253,5588264,5588351,5588370,5588418"
