player_id,team_id,position,total_minutes_played,total_matches_played,match_ids
95349,1612,Midfielder,306,17,"5588095,5588145,5588160,5588173,5588184,5588199,5588254,5588269,5588305,5588311,5588325,5588337,5588348,5588354,5588379,5588394,5588424"
104851,1613,Goalkeeper,900,10,"5588236,5588245,5588256,5588267,5588278,5588288,5588297,5588307,5588317,5588326"
105333,1616,Midfielder,49,2,"5588351,5588370"
105333,1616,Winger,265,8,"5588323,5588334,5588345,5588364,5588391,5588418,5588421,5588431"
112392,1616,Striker,2538,38,"5588080,5588094,5588104,5588114,5588123,5588138,5588148,5588151,5588166,5588171,5588183,5588194,5588207,5588214,5588224,5588234,5588244,5588253,5588264,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588351,5588364,5588370,5588384,5588391,5588404,5588418,5588421,5588431,5588442,5588451"
120353,1612,Winger,3376,38,"5588081,5588095,5588106,5588115,5588125,5588139,5588145,5588153,5588160,5588173,5588184,5588199,5588204,5588218,5588223,5588234,5588248,5588254,5588269,5588275,5588285,5588291,5588305,5588311,5588325,5588337,5588348,5588354,5588361,5588379,5588384,5588394,5588406,5588414,5588424,5588433,5588443,5588453"
134102,1625,Central Defender,597,9,"5588109,5588170,5588197,5588217,5588255,5588266,5588276,5588281,5588337"
134102,1625,Full Back,90,1,5588204
134717,1609,Striker,1057,14,"5588126,5588130,5588140,5588160,5588175,5588324,5588370,5588383,5588390,5588405,5588410,5588420,5588433,5588440"
134717,1609,Winger,1553,24,"5588082,5588090,5588100,5588118,5588150,5588182,5588190,5588208,5588210,5588224,5588230,5588242,5588250,5588261,5588272,5588280,5588290,5588309,5588310,5588330,5588342,5588355,5588360,5588457"
136441,1624,Central Defender,1350,17,"5588178,5588197,5588207,5588212,5588293,5588308,5588312,5588328,5588364,5588388,5588399,5588408,5588414,5588429,5588438,5588441,5588458"
136509,1631,Goalkeeper,137,2,"5588236,5588246"
145787,1616,Central Defender,2583,29,"5588114,5588123,5588138,5588148,5588151,5588171,5588183,5588194,5588253,5588264,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588351,5588364,5588370,5588384,5588391,5588404,5588418,5588421,5588431,5588442,5588451"
145787,1628,Central Defender,90,1,5588087
173214,1624,Midfielder,37,3,"5588118,5588197,5588212"
173214,1624,Winger,560,15,"5588089,5588107,5588136,5588143,5588158,5588165,5588187,5588207,5588228,5588238,5588248,5588257,5588268,5588278,5588343"
192755,1631,Full Back,7,1,5588270
192755,1631,Midfielder,62,3,"5588105,5588200,5588246"
192755,1631,Striker,13,1,5588236
192755,1631,Winger,740,18,"5588089,5588094,5588130,5588147,5588157,5588196,5588216,5588226,5588254,5588308,5588314,5588324,5588336,5588344,5588352,5588392,5588406,5588419"
192792,1613,Central Defender,3330,37,"5588084,5588091,5588107,5588119,5588123,5588137,5588146,5588155,5588164,5588175,5588186,5588203,5588218,5588221,5588236,5588245,5588256,5588267,5588278,5588288,5588297,5588307,5588317,5588326,5588338,5588348,5588358,5588368,5588377,5588386,5588396,5588400,5588416,5588423,5588435,5588440,5588455"
213312,1613,Winger,193,9,"5588091,5588107,5588146,5588155,5588164,5588221,5588245,5588288,5588307"
214220,1612,Goalkeeper,2510,28,"5588081,5588095,5588106,5588115,5588139,5588145,5588223,5588234,5588248,5588254,5588269,5588275,5588285,5588291,5588305,5588311,5588325,5588337,5588348,5588354,5588361,5588394,5588406,5588414,5588424,5588433,5588443,5588453"
217031,1609,Full Back,625,8,"5588140,5588160,5588175,5588224,5588230,5588272,5588290,5588390"
217031,1609,Midfielder,2194,27,"5588082,5588090,5588100,5588118,5588126,5588130,5588150,5588182,5588190,5588210,5588242,5588250,5588261,5588280,5588309,5588310,5588324,5588330,5588342,5588355,5588360,5588370,5588410,5588420,5588433,5588440,5588457"
219526,1669,Goalkeeper,3276,37,"5588087,5588095,5588101,5588116,5588128,5588132,5588142,5588154,5588162,5588171,5588180,5588193,5588200,5588211,5588221,5588233,5588241,5588252,5588261,5588277,5588281,5588291,5588303,5588329,5588336,5588340,5588350,5588362,5588377,5588381,5588390,5588401,5588417,5588422,5588432,5588442,5588459"
222220,1612,Full Back,2516,33,"5588081,5588095,5588106,5588115,5588125,5588139,5588145,5588153,5588160,5588184,5588199,5588204,5588218,5588223,5588234,5588248,5588254,5588269,5588275,5588285,5588291,5588305,5588311,5588325,5588337,5588354,5588361,5588379,5588384,5588394,5588414,5588433,5588453"
222770,1629,Central Defender,230,3,"5588229,5588239,5588445"
222770,1629,Full Back,2674,31,"5588108,5588119,5588120,5588139,5588142,5588159,5588163,5588179,5588189,5588194,5588209,5588246,5588259,5588268,5588288,5588292,5588309,5588319,5588325,5588332,5588345,5588359,5588369,5588374,5588385,5588399,5588407,5588419,5588428,5588439,5588459"
223794,1614,Midfielder,793,10,"5588211,5588220,5588260,5588319,5588320,5588331,5588346,5588350,5588361,5588380"
223794,1614,Striker,115,2,"5588372,5588430"
223794,1614,Winger,1364,22,"5588086,5588090,5588105,5588110,5588120,5588151,5588161,5588178,5588184,5588191,5588202,5588237,5588240,5588256,5588270,5588300,5588398,5588400,5588415,5588421,5588441,5588454"
225947,1616,Full Back,18,1,5588274
225947,1616,Midfielder,101,2,"5588370,5588431"
225947,1616,Winger,1769,33,"5588080,5588094,5588104,5588114,5588123,5588138,5588148,5588151,5588166,5588171,5588183,5588194,5588214,5588224,5588234,5588244,5588253,5588264,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588364,5588384,5588391,5588404,5588418,5588421,5588442,5588451"
227085,1629,Goalkeeper,2610,29,"5588082,5588099,5588159,5588163,5588179,5588189,5588194,5588209,5588213,5588246,5588259,5588268,5588279,5588288,5588292,5588309,5588319,5588325,5588332,5588345,5588359,5588369,5588374,5588385,5588399,5588419,5588428,5588439,5588459"
228946,1619,Winger,79,2,"5588117,5588131"
230020,1616,Full Back,77,1,5588148
230020,1616,Midfielder,477,6,"5588214,5588253,5588264,5588351,5588370,5588418"
230020,1616,Winger,2461,31,"5588080,5588094,5588104,5588114,5588123,5588138,5588151,5588166,5588171,5588183,5588194,5588207,5588224,5588234,5588244,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588364,5588384,5588391,5588404,5588421,5588431,5588442,5588451"
234399,1651,Central Defender,901,13,"5588083,5588133,5588143,5588272,5588283,5588321,5588339,5588341,5588351,5588367,5588439,5588443,5588458"
234399,1651,Midfielder,8,1,5588302
237034,1629,Full Back,8,1,5588309
237034,1629,Midfielder,184,7,"5588163,5588179,5588194,5588239,5588359,5588419,5588445"
237034,1629,Striker,392,10,"5588119,5588120,5588159,5588189,5588229,5588319,5588325,5588428,5588439,5588459"
237034,1629,Winger,532,11,"5588108,5588142,5588209,5588213,5588246,5588259,5588268,5588279,5588288,5588292,5588369"
237269,1616,Midfielder,2364,30,"5588080,5588094,5588104,5588114,5588123,5588138,5588148,5588194,5588207,5588224,5588234,5588244,5588253,5588264,5588274,5588286,5588295,5588304,5588317,5588323,5588334,5588345,5588370,5588384,5588391,5588404,5588418,5588421,5588442,5588451"
239411,1614,Central Defender,1126,14,"5588211,5588260,5588270,5588282,5588290,5588300,5588320,5588331,5588350,5588361,5588380,5588398,5588400,5588430"
240032,1619,Central Defender,2532,30,"5588084,5588097,5588101,5588117,5588127,5588131,5588140,5588157,5588168,5588177,5588189,5588238,5588244,5588258,5588262,5588277,5588289,5588298,5588307,5588315,5588327,5588339,5588354,5588378,5588388,5588398,5588409,5588418,5588427,5588437"
240070,1631,Midfielder,1568,22,"5588089,5588094,5588105,5588113,5588124,5588130,5588157,5588167,5588172,5588185,5588196,5588246,5588254,5588266,5588270,5588284,5588295,5588308,5588314,5588344,5588352,5588366"
240378,1642,Full Back,3000,35,"5588085,5588097,5588108,5588115,5588121,5588138,5588144,5588156,5588167,5588176,5588186,5588190,5588206,5588217,5588227,5588237,5588241,5588257,5588263,5588279,5588285,5588298,5588301,5588318,5588323,5588338,5588342,5588356,5588365,5588373,5588417,5588425,5588436,5588449,5588456"
240445,1616,Midfielder,1909,30,"5588080,5588094,5588104,5588114,5588123,5588138,5588151,5588166,5588171,5588183,5588194,5588214,5588224,5588234,5588253,5588264,5588274,5588286,5588304,5588317,5588334,5588351,5588364,5588370,5588384,5588391,5588404,5588418,5588431,5588451"
240445,1616,Winger,167,3,"5588148,5588323,5588345"
241564,1609,Full Back,481,12,"5588082,5588100,5588175,5588190,5588208,5588210,5588261,5588280,5588330,5588405,5588420,5588457"
241564,1609,Midfielder,95,3,"5588342,5588390,5588433"
