matchId,passEventId,passTeamId,passPlayerId,passTimeSeconds,startX,startY,endX,endY,becameShot,shotId_1,shotX_1,shotY_1,shotIsGoal_1,shotXG_1,shotId_2,shotX_2,shotY_2,shotIsGoal_2,shotXG_2,shotId_3,shotX_3,shotY_3,shotIsGoal_3,shotXG_3,shotId_4,shotX_4,shotY_4,shotIsGoal_4,shotXG_4
5588459,2556249992,1629,222770,2403,93,76,91,78,TRUE,2556250004,83,46,FALSE,0.05898,,,,,,,,,,,,,,,
5588459,2556249995,1629,403934,2403,91,78,93,51,TRUE,2556250004,83,46,FALSE,0.05898,,,,,,,,,,,,,,,
5588459,2556250000,1629,565016,2408,89,42,83,46,TRUE,2556250004,83,46,FALSE,0.05898,,,,,,,,,,,,,,,
5588459,2556249945,1669,479155,2601,59,75,67,71,TRUE,2556249974,91,38,FALSE,0.1775,,,,,,,,,,,,,,,
5588459,2556249947,1669,449472,2604,73,74,70,67,TRUE,2556249974,91,38,FALSE,0.1775,,,,,,,,,,,,,,,
5588459,2556249948,1669,56262,2605,70,67,64,73,TRUE,2556249974,91,38,FALSE,0.1775,,,,,,,,,,,,,,,
5588459,2556249949,1669,621262,2606,64,73,75,75,TRUE,2556249974,91,38,FALSE,0.1775,,,,,,,,,,,,,,,
5588459,2556249951,1669,449472,2608,78,76,87,43,TRUE,2556249974,91,38,FALSE,0.1775,,,,,,,,,,,,,,,
5588459,2556250113,1629,598178,2740,45,64,47,43,TRUE,2556250116,78,47,FALSE,0.05563,,,,,,,,,,,,,,,
5588459,2556250115,1629,595249,2748,74,23,78,47,TRUE,2556250116,78,47,FALSE,0.05563,,,,,,,,,,,,,,,
5588459,2556250149,1629,403934,2735,92,23,85,37,TRUE,2556250116,78,47,FALSE,0.05563,,,,,,,,,,,,,,,
5588459,2556250153,1629,595249,2740,69,69,59,74,TRUE,2556250116,78,47,FALSE,0.05563,,,,,,,,,,,,,,,
5588459,2556250155,1629,62126,2745,67,75,92,28,TRUE,2556250116,78,47,FALSE,0.05563,,,,,,,,,,,,,,,
5588459,2556250191,1629,237034,2935,60,100,88,83,TRUE,2556250206,85,55,FALSE,0.04555,,,,,,,,,,,,,,,
5588459,2556250193,1629,403934,2940,88,83,76,68,TRUE,2556250206,85,55,FALSE,0.04555,,,,,,,,,,,,,,,
5588459,2556250195,1629,237034,2943,76,68,82,65,TRUE,2556250206,85,55,FALSE,0.04555,2556250211,90,32,FALSE,0.06416,,,,,,,,,,
5588459,2556250197,1629,512982,2944,82,65,92,81,TRUE,2556250206,85,55,FALSE,0.04555,2556250211,90,32,FALSE,0.06416,,,,,,,,,,
5588459,2556250202,1629,237034,2945,92,81,87,42,TRUE,2556250206,85,55,FALSE,0.04555,2556250211,90,32,FALSE,0.06416,,,,,,,,,,
5588459,2556250210,1629,598178,2955,86,29,90,32,TRUE,2556250211,90,32,FALSE,0.06416,,,,,,,,,,,,,,,
5588459,2556250124,1669,558243,3146,58,14,68,23,TRUE,2556250130,92,66,FALSE,0.2409,,,,,,,,,,,,,,,
5588459,2556250126,1669,56262,3151,67,34,83,35,TRUE,2556250130,92,66,FALSE,0.2409,,,,,,,,,,,,,,,
5588459,2556250127,1669,522222,3153,83,35,82,63,TRUE,2556250130,92,66,FALSE,0.2409,,,,,,,,,,,,,,,
5588459,2556250128,1669,454388,3155,82,63,90,64,TRUE,2556250130,92,66,FALSE,0.2409,,,,,,,,,,,,,,,
5588459,2556250270,1629,623641,3183,0,61,66,60,TRUE,2556250278,86,40,FALSE,0.173,,,,,,,,,,,,,,,
5588459,2556250301,1629,62126,3233,60,85,61,74,TRUE,2556250324,87,69,FALSE,0.02332,,,,,,,,,,,,,,,
5588459,2556250302,1629,595249,3234,61,74,66,91,TRUE,2556250324,87,69,FALSE,0.02332,,,,,,,,,,,,,,,
5588459,2556250305,1629,222770,3237,66,91,60,74,TRUE,2556250324,87,69,FALSE,0.02332,,,,,,,,,,,,,,,
5588459,2556250308,1629,595249,3239,60,74,69,63,TRUE,2556250324,87,69,FALSE,0.02332,,,,,,,,,,,,,,,
5588459,2556250311,1629,512982,3240,69,63,62,68,TRUE,2556250324,87,69,FALSE,0.02332,,,,,,,,,,,,,,,
5588459,2556250312,1629,595249,3243,62,68,67,76,TRUE,2556250324,87,69,FALSE,0.02332,,,,,,,,,,,,,,,
5588459,2556250314,1629,598178,3246,67,76,83,69,TRUE,2556250324,87,69,FALSE,0.02332,,,,,,,,,,,,,,,
5588459,2556250350,1629,598178,3352,33,79,43,89,TRUE,2556250359,87,43,FALSE,0.2066,,,,,,,,,,,,,,,
5588459,2556250354,1629,222770,3358,61,86,89,85,TRUE,2556250359,87,43,FALSE,0.2066,,,,,,,,,,,,,,,
5588459,2556250356,1629,403934,3361,89,85,87,43,TRUE,2556250359,87,43,FALSE,0.2066,,,,,,,,,,,,,,,
5588459,2556250328,1669,449472,3741,48,91,49,88,TRUE,2556250336,77,42,FALSE,0.05249,,,,,,,,,,,,,,,
5588459,2556250330,1669,454388,3747,73,67,67,48,TRUE,2556250336,77,42,FALSE,0.05249,,,,,,,,,,,,,,,
5588459,2556250331,1669,56262,3749,67,48,83,24,TRUE,2556250336,77,42,FALSE,0.05249,,,,,,,,,,,,,,,
5588459,2556250333,1669,522222,3753,85,28,77,38,TRUE,2556250336,77,42,FALSE,0.05249,,,,,,,,,,,,,,,
5588459,2556250547,1629,222770,4036,28,85,33,76,TRUE,2556250566,77,49,FALSE,0.01717,,,,,,,,,,,,,,,
5588459,2556250553,1629,598178,4040,30,67,38,69,TRUE,2556250566,77,49,FALSE,0.01717,,,,,,,,,,,,,,,
5588459,2556250554,1629,512982,4040,38,69,43,80,TRUE,2556250566,77,49,FALSE,0.01717,,,,,,,,,,,,,,,
5588459,2556250557,1629,403934,4043,55,80,58,73,TRUE,2556250566,77,49,FALSE,0.01717,,,,,,,,,,,,,,,
5588459,2556250561,1629,512982,4048,75,64,81,43,TRUE,2556250566,77,49,FALSE,0.01717,,,,,,,,,,,,,,,
5588459,2556250494,1669,700018,4415,91,0,80,21,TRUE,2556250501,73,47,FALSE,0.004121,,,,,,,,,,,,,,,
5588459,2556250496,1669,449472,4418,79,24,92,49,TRUE,2556250501,73,47,FALSE,0.004121,,,,,,,,,,,,,,,
5588459,2556250644,1629,623641,4440,0,58,64,61,TRUE,2556250646,80,63,TRUE,0.07537,,,,,,,,,,,,,,,
5588459,2556250645,1629,474104,4444,64,61,72,57,TRUE,2556250646,80,63,TRUE,0.07537,,,,,,,,,,,,,,,
5588459,2556250587,1669,596942,4699,82,17,74,25,TRUE,2556250593,91,56,FALSE,0.1195,,,,,,,,,,,,,,,
5588459,2556250588,1669,621262,4701,74,25,67,64,TRUE,2556250593,91,56,FALSE,0.1195,,,,,,,,,,,,,,,
5588459,2556250589,1669,700018,4704,67,64,79,94,TRUE,2556250593,91,56,FALSE,0.1195,,,,,,,,,,,,,,,
5588459,2556250592,1669,454388,4711,78,77,91,56,TRUE,2556250593,91,56,FALSE,0.1195,,,,,,,,,,,,,,,
5588459,2556250737,1629,598178,4898,70,9,88,60,TRUE,2556250739,86,45,FALSE,0.182,,,,,,,,,,,,,,,
5588459,2556250696,1669,454388,5111,74,94,81,94,TRUE,2556250707,88,52,FALSE,0.06254,,,,,,,,,,,,,,,
5588459,2556250697,1669,700018,5113,81,94,69,94,TRUE,2556250707,88,52,FALSE,0.06254,,,,,,,,,,,,,,,
5588459,2556250698,1669,454388,5115,69,94,65,82,TRUE,2556250707,88,52,FALSE,0.06254,,,,,,,,,,,,,,,
5588459,2556250701,1669,56262,5118,65,82,76,92,TRUE,2556250707,88,52,FALSE,0.06254,,,,,,,,,,,,,,,
5588459,2556250704,1669,454388,5123,74,89,87,51,TRUE,2556250707,88,52,FALSE,0.06254,,,,,,,,,,,,,,,
5588459,2556250860,1629,598178,5485,70,38,64,35,TRUE,2556250876,78,63,FALSE,0.00426,,,,,,,,,,,,,,,
5588459,2556250866,1629,595249,5491,70,30,85,46,TRUE,2556250876,78,63,FALSE,0.00426,,,,,,,,,,,,,,,
5588459,2556250871,1629,474104,5494,75,39,67,38,TRUE,2556250876,78,63,FALSE,0.00426,,,,,,,,,,,,,,,
5588459,2556250873,1629,595249,5496,67,38,77,49,TRUE,2556250876,78,63,FALSE,0.00426,,,,,,,,,,,,,,,
5588458,2556180343,1651,234399,120,23,43,21,61,TRUE,2556180350,85,60,FALSE,0.1433,,,,,,,,,,,,,,,
5588458,2556180345,1651,590781,129,29,56,72,45,TRUE,2556180350,85,60,FALSE,0.1433,,,,,,,,,,,,,,,
5588458,2556180348,1651,856213,132,72,45,85,60,TRUE,2556180350,85,60,FALSE,0.1433,,,,,,,,,,,,,,,
5588458,2556180449,1651,589075,586,72,90,95,83,TRUE,2556180452,92,67,FALSE,0.03971,,,,,,,,,,,,,,,
5588458,2556180450,1651,552926,590,95,83,100,100,TRUE,2556180452,92,67,FALSE,0.03971,,,,,,,,,,,,,,,
5588458,2556180712,1651,677949,1782,100,0,95,41,TRUE,2556180713,96,40,FALSE,0.1778,,,,,,,,,,,,,,,
5588458,2556180801,1651,552926,2170,80,72,98,28,TRUE,2556180807,73,41,FALSE,0.002458,,,,,,,,,,,,,,,
5588458,2556180802,1651,856213,2173,98,28,88,61,TRUE,2556180807,73,41,FALSE,0.002458,,,,,,,,,,,,,,,
5588458,2556180803,1651,552926,2175,88,61,91,36,TRUE,2556180807,73,41,FALSE,0.002458,,,,,,,,,,,,,,,
5588458,2556180806,1651,415953,2183,80,38,73,41,TRUE,2556180807,73,41,FALSE,0.002458,,,,,,,,,,,,,,,
5588458,2556180770,1624,604763,2250,16,65,18,62,TRUE,2556180777,92,41,FALSE,0.3376,,,,,,,,,,,,,,,
5588458,2556180772,1624,361807,2257,59,74,70,48,TRUE,2556180777,92,41,FALSE,0.3376,,,,,,,,,,,,,,,
5588458,2556180775,1624,551442,2260,75,68,92,41,TRUE,2556180777,92,41,FALSE,0.3376,,,,,,,,,,,,,,,
5588458,2556181054,1651,630651,3040,100,0,90,42,TRUE,2556181057,97,46,TRUE,0.5663,,,,,,,,,,,,,,,
5588458,2556181084,1651,719786,3167,55,98,44,79,TRUE,2556181098,87,58,FALSE,0.1775,,,,,,,,,,,,,,,
5588458,2556181085,1651,590781,3170,44,79,63,71,TRUE,2556181098,87,58,FALSE,0.1775,,,,,,,,,,,,,,,
5588458,2556181086,1651,732998,3171,63,71,80,74,TRUE,2556181098,87,58,FALSE,0.1775,,,,,,,,,,,,,,,
5588458,2556181091,1651,630651,3175,80,74,87,64,TRUE,2556181098,87,58,FALSE,0.1775,,,,,,,,,,,,,,,
5588458,2556181092,1651,807014,3176,87,64,82,65,TRUE,2556181098,87,58,FALSE,0.1775,,,,,,,,,,,,,,,
5588458,2556181094,1651,630651,3176,82,65,87,58,TRUE,2556181098,87,58,FALSE,0.1775,,,,,,,,,,,,,,,
5588458,2556181662,1651,807014,3296,100,100,90,56,TRUE,2556181119,92,58,FALSE,0.0742,,,,,,,,,,,,,,,
5588458,2556181138,1624,366217,3333,39,74,43,40,TRUE,2556181201,90,37,FALSE,0.05125,,,,,,,,,,,,,,,
5588458,2556181139,1624,625787,3335,43,40,48,11,TRUE,2556181201,90,37,FALSE,0.05125,,,,,,,,,,,,,,,
5588458,2556181140,1624,604763,3337,48,11,61,6,TRUE,2556181201,90,37,FALSE,0.05125,,,,,,,,,,,,,,,
5588458,2556181198,1624,681063,3345,93,16,90,37,TRUE,2556181201,90,37,FALSE,0.05125,,,,,,,,,,,,,,,
5588458,2556181126,1651,534324,3391,60,11,46,14,TRUE,2556181136,95,68,FALSE,0.05179,,,,,,,,,,,,,,,
5588458,2556181127,1651,415953,3395,46,14,42,63,TRUE,2556181136,95,68,FALSE,0.05179,,,,,,,,,,,,,,,
5588458,2556181129,1651,590781,3400,50,73,63,97,TRUE,2556181136,95,68,FALSE,0.05179,,,,,,,,,,,,,,,
