,dist_to_goal_end,dist_to_goal_end_sq,goal_angle_end,goal_weighted_centrality_end,model_xG,shotIsGoal
dist_to_goal_end,1.0,0.9645186420049056,-0.7396483092642048,-0.6404610739930531,-0.8009022341330682,-0.2632722577713123
dist_to_goal_end_sq,0.9645186420049056,1.0,-0.6055248639057932,-0.6074836611601896,-0.6470469802577701,-0.21269431902110095
goal_angle_end,-0.7396483092642048,-0.6055248639057932,1.0,0.6903164068055586,0.8995764801264897,0.296112176711626
goal_weighted_centrality_end,-0.6404610739930531,-0.6074836611601896,0.6903164068055586,1.0,0.46192944806110503,0.1500849143839678
model_xG,-0.8009022341330682,-0.6470469802577701,0.8995764801264897,0.46192944806110503,1.0,0.32838290492068045
shotIsGoal,-0.2632722577713123,-0.21269431902110095,0.296112176711626,0.1500849143839678,0.32838290492068045,1.0
