player_id,player_name,team_id,total_minutes_played
1096014,Tom Edozie,22988,0.0
1050460,Jeremy Monga,25891,152.0
1046087,Mateus Mane,2339,6.0
961676,Yunus Emre Konak,1669,80.0
960198,Jayden Moore,22977,0.0
956105,Remy Rees-Dottin,30497,1.0
956089,Ben Winterburn,26679,40.0
956085,Archie Andrew Philip Harris,26679,0.0
933026,Ayden Heaven,1611,184.0
932310,Olabade Aluko,2317,7.0
930632,Sekou Kone,22975,0.0
930030,Harrison Armstrong,1647,60.0
916734,Freddie Simmonds,26672,0.0
915231,Godwill Kukonki,2330,0.0
911156,Pedro Henrique Cardoso de Lima,1629,80.0
911027,Vitor de Oliveira Nunes dos Reis,1625,2.0
906075,Wesley Okoduwa,2339,0.0
900578,Benjamin Chiemela Fredrick,68095,0.0
899776,Amara Nallo,22985,0.0
898193,Min-hyuk Yang,1650,0.0
896402,Maxwell Kinsey-Wellings,26679,0.0
895623,Aarón Anselmino,1610,0.0
895000,Ezra  Mayers,22973,0.0
894316,Tony Yogane,1703,0.0
886722,Daniel William Adu-Adjei,26679,0.0
885623,Malachi Hardy,2344,0.0
882813,Spike Brits,2424,0.0
882697,Luca Williams-Barnett,2344,0.0
882369,Sam Amissah,2324,0.0
874018,Sean Neave,2331,0.0
865757,Maeson King,22980,0.0
865755,Chidozie Obi-Martin,1611,205.0
864680,Julian Eyestone,68095,0.0
856213,Yankuba Minteh,1651,1921.0
854563,Benjamin Arthur,68095,0.0
854468,Shumaira Mheuka,22982,5.0
854463,Genesis Antwi,2333,0.0
854404,Harry Howell,26672,13.0
854389,Jack Porter,2285,0.0
854133,Iwan Morgan,68095,0.0
851151,Jay Robinson,22977,151.0
850903,Callum Olusesi,2344,0.0
850824,Tom Taylor,2326,0.0
850716,Caleb Kporha,22983,22.0
847514,Josh  Nichols,22994,0.0
847510,Ismeal  Kabia,22994,0.0
847508,Maldini  Kacurri,1820,0.0
847422,Romain Joy Kouakou Esse,1628,164.0
846827,Elyh Samuel Harrison,22975,0.0
835236,Gustavo Nunes Fernandes Gomes,1669,25.0
