matchId,passEventId,passTeamId,passPlayerId,passTimeSeconds,startX,startY,endX,endY,becameShot,shotEventId,shotOutcome,shotPlayerId,shotPlayerName,shotStartX,shotStartY,isGoal,shot_dist_to_goal,shot_goal_angle,goalProbability
5588080,2263270249,1616,488326,467,75,47,82,70,True,2263270260,No Goal,225947,Adama Traoré,89.0,74.0,0.0,26.40075756488817,0.49642275340488196,0.03894554947533524
5588080,2263270347,1616,240445,732,28,71,45,80,True,2263270351,No Goal,1712,K. Tete,74.0,54.0,0.0,26.30589287593181,0.9123185704794036,0.025796827066988437
5588080,2263271903,1616,240445,790,100,100,88,56,True,2263270354,No Goal,488326,Rodrigo Muniz,88.0,56.0,0.0,13.416407864998739,1.5355545137292883,0.15351382502114813
5588080,2263270446,1611,488453,1175,46,47,97,32,True,2263270451,No Goal,243588,Bruno Fernandes,97.0,32.0,0.0,18.24828759089466,0.44394572508799723,0.03230603719112836
5588080,2263270539,1611,243588,1421,69,82,86,60,True,2263270544,No Goal,40756,Casemiro,86.0,60.0,0.0,17.204650534085253,1.2351008191283959,0.10644000310315464
5588080,2263270594,1611,346139,1579,80,28,75,51,True,2263270596,No Goal,40756,Casemiro,75.0,51.0,0.0,25.019992006393608,0.9580082970739456,0.03315432337604146
5588080,2263270618,1611,40756,1696,76,62,87,66,True,2263270619,No Goal,243588,Bruno Fernandes,87.0,66.0,0.0,20.615528128088304,0.9225782718532065,0.07329761345169943
5588080,2263270760,1611,346139,2040,75,56,77,66,True,2263270765,No Goal,243588,Bruno Fernandes,89.0,51.0,0.0,11.045361017187261,1.7336761482047658,0.18350835892147527
5588080,2263270790,1611,583656,2181,100,100,95,40,True,2263270791,No Goal,40756,Casemiro,95.0,40.0,0.0,11.180339887498949,1.8971551435016591,0.2536027549076941
5588080,2263270873,1611,243588,2490,70,10,81,36,True,2263270875,No Goal,40756,Casemiro,80.0,54.0,0.0,20.396078054371138,1.1273479903751584,0.0683275126331994
5588080,2263271071,1616,240445,2833,100,0,91,40,True,2263271070,No Goal,230020,A. Iwobi,91.0,40.0,0.0,13.45362404707371,1.5195591593914777,0.17048645704723264
5588080,2263271085,1616,240445,2948,100,0,97,42,True,2263271086,No Goal,1712,K. Tete,97.0,42.0,0.0,8.54400374531753,2.459276098715045,0.3571249838158874
5588080,2263271099,1611,243588,3168,37,22,85,14,True,2263271108,No Goal,346139,M. Mount,93.0,42.0,0.0,10.63014581273465,1.8692952583810758,0.23237515987781188
5588080,2263271140,1611,346139,3331,87,35,78,43,True,2263271141,No Goal,692544,K. Mainoo,78.0,43.0,0.0,23.08679276123039,1.0040671092713902,0.049457264901650866
5588080,2263271304,1616,1712,3688,85,82,94,35,True,2263271310,No Goal,488326,Rodrigo Muniz,85.0,49.0,0.0,15.033296378372908,1.425670004621493,0.12418975075020022
5588080,2263271296,1611,40756,3905,49,78,65,77,True,2263271300,No Goal,243588,Bruno Fernandes,75.0,57.0,0.0,25.96150997149434,0.910285922944416,0.029330395346076177
5588080,2263271360,1611,243588,4098,100,100,94,69,True,2263271362,No Goal,692543,A. Garnacho,80.0,66.0,0.0,25.612496949731394,0.818157045787963,0.04010982300860147
5588080,2263271492,1616,9624,4262,81,19,81,49,True,2263271494,No Goal,225947,Adama Traoré,81.0,49.0,0.0,19.026297590440446,1.1983429968822819,0.08014456983904583
5588080,2263271513,1616,225947,4312,66,36,72,33,True,2263271517,No Goal,225947,Adama Traoré,74.0,54.0,0.0,26.30589287593181,0.9123185704794036,0.025796827066988437
5588080,2263271577,1616,447424,4533,85,38,85,43,True,2263271581,No Goal,447424,C. Bassey,81.0,41.0,0.0,21.02379604162864,1.0659349551357702,0.06756239627624169
5588080,2263271545,1611,692543,4768,75,74,81,38,True,2263271549,No Goal,243588,Bruno Fernandes,83.0,48.0,0.0,17.11724276862369,1.2972841835761928,0.09996043186976122
5588080,2263271668,1611,692543,5209,87,84,90,62,True,2263271669,Goal,543793,J. Zirkzee,90.0,62.0,1.0,15.620499351813308,1.2899586021736937,0.1320446715189991
5588080,2263271774,1611,488453,5620,47,8,74,28,True,2263271782,No Goal,692543,A. Garnacho,88.0,57.0,0.0,13.892443989449804,1.4940244355251187,0.14840661197094482
5588081,2264027954,1612,346101,956,71,38,73,66,True,2264027956,No Goal,476382,D. Szoboszlai,73.0,66.0,0.0,31.38470965295043,0.7104400549028766,0.010989092643829884
5588081,2264028258,1634,11270,1164,79,90,92,41,True,2264028261,No Goal,620468,J. Greaves,92.0,40.0,0.0,12.806248474865697,1.594830159748654,0.18713915964701605
5588081,2264028098,1612,222220,1845,100,100,94,42,True,2264028099,No Goal,476382,D. Szoboszlai,80.0,34.0,0.0,25.612496949731394,0.818157045787963,0.042383414204872044
5588081,2264028487,1634,580755,1854,30,43,65,71,True,2264028491,No Goal,656947,O. Hutchinson,77.0,58.0,0.0,24.351591323771842,0.9540355675396928,0.04029141018640356
