matchId,passEventId,passTeamId,passPlayerId,startX,startY,shotX,shotY,shotIsGoal,shot_probability,model_xG,pass_goal_probability
5588109,2280658056,1633,299699,100,0,95.0,54.0,False,0.306580614562811,0.2189,0.4583701180350116
5588109,2280658128,1633,541598,93,10,91.0,47.0,False,0.2461829645463793,0.4207,0.5633137913617177
5588109,2280658129,1633,14705,90,42,91.0,47.0,False,0.4995146520568964,0.4207,0.7100688379365601
5588109,2280658138,1633,285403,89,52,91.0,47.0,False,0.5486232706496744,0.4207,0.7385174606873564
5588109,2280658166,1625,38021,100,0,91.0,48.0,False,0.2578303488229521,0.09568,0.328841141047572
5588109,2280658351,1633,422132,25,28,81.0,74.0,False,0.021372636160693934,0.008028,0.029229056637595896
5588109,2280658354,1633,486252,64,70,81.0,74.0,False,0.1178881700175911,0.008028,0.12496976378868996
5588109,2280658373,1633,422132,75,34,92.0,35.0,False,0.20129746049402542,0.1824,0.34698080369991513
5588109,2280658375,1633,535839,88,31,92.0,35.0,False,0.35391598475708597,0.1824,0.47176170913739346
5588109,2280658424,1625,258154,45,50,90.0,45.0,False,0.07093679801118377,0.2411,0.2949339360106874
5588109,2280658426,1625,265673,67,68,90.0,45.0,False,0.10113304119615035,0.2411,0.31784986496375855
5588109,2280658427,1625,658798,59,65,90.0,45.0,False,0.10336879667578706,0.2411,0.31954657979725476
5588109,2280658428,1625,69404,60,48,90.0,45.0,False,0.0690853658749991,0.2411,0.29352888416253686
5588109,2280658465,1625,69404,68,3,74.0,29.0,False,0.05964716047193908,0.007148,0.06636880256888567
5588109,2280658467,1625,297957,68,29,74.0,29.0,False,0.08179000023679832,0.007148,0.08835336531510574
5588109,2280658468,1625,265673,75,8,74.0,29.0,False,0.09423411915302844,0.007148,0.10070853366932264
5588109,2280658471,1625,38021,100,0,95.0,55.0,False,0.10398867633385565,0.4501,0.5072833731159871
5588109,2280658472,1625,11051,77,21,95.0,55.0,False,0.16396147282663315,0.4501,0.5402624139073655
5588109,2280658473,1625,38021,91,17,95.0,55.0,False,0.3207956843452639,0.4501,0.6265055468214606
5588109,2280658636,1625,258154,15,29,82.0,46.0,True,0.01566881930880135,0.2764,0.2877379576518486
5588109,2280658637,1625,568412,21,15,82.0,46.0,True,0.022905785568171813,0.2764,0.2929746264371291
5588109,2280658638,1625,14808,42,17,82.0,46.0,True,0.0259711076792782,0.2764,0.2951926935167257
5588109,2280658641,1625,589103,53,42,82.0,46.0,True,0.10198477576940802,0.2764,0.35019618374674366
5588109,2280658756,1625,14808,18,49,98.0,38.0,False,0.026609355584862812,0.1518,0.1743700554070805
5588109,2280658757,1625,427097,34,55,98.0,38.0,False,0.038566947613603665,0.1518,0.1845124849658586
5588109,2280658759,1625,14808,56,12,98.0,38.0,False,0.09727361571334008,0.1518,0.23430748084805497
5588100,2285323139,1609,520291,93,83,95.0,64.0,False,0.2789222147062226,0.1136,0.3608366511155957
5588100,2285323140,1609,520291,90,85,95.0,64.0,False,0.1396382576923453,0.1136,0.23737535161849488
5588100,2285323141,1609,302292,76,78,95.0,64.0,False,0.1338225965689755,0.1136,0.23222034959873983
5588100,2285323142,1609,520291,89,87,95.0,64.0,False,0.16951299309957166,0.1136,0.26385631708346036
5588100,2285323143,1609,302292,80,71,95.0,64.0,False,0.3163118646919641,0.1136,0.393978836862957
5588100,2285323188,1609,415917,40,20,92.0,71.0,False,0.03738837628915006,0.07468,0.10927621234787632
5588100,2285323189,1609,578325,38,53,92.0,71.0,False,0.043689558577000506,0.07468,0.11510682234247005
