player_id,minutes_played,position_provider,position,jersey_number,team_id,match_id,yellow_card,bookings,red_card,goals,assists,sub_in,sub_out,minutes,own_goals,starting,competition,season
583656,61,RAMF,Winger,16,1611,5588080,False,0,False,0,0,0,61,61,0,True,364,2024
346139,61,AMF,Midfielder,7,1611,5588080,True,1,False,0,0,0,61,61,0,True,364,2024
8653,81,RCB,Central Defender,5,1611,5588080,True,1,False,0,0,0,81,81,0,True,364,2024
349142,81,RB,Full Back,3,1611,5588080,False,0,False,0,0,0,81,81,0,True,364,2024
692544,84,LDMF,Midfielder,37,1611,5588080,False,0,False,0,0,0,84,84,0,True,364,2024
344038,90,GK,Goalkeeper,24,1611,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
243588,90,CF,Striker,8,1611,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
40756,90,RDMF,Midfielder,18,1611,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
369589,90,LB,Full Back,20,1611,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
488453,90,LCB,Central Defender,6,1611,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
397178,90,LAMF,Winger,10,1611,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
692543,33,RAMF,Winger,17,1611,5588080,False,0,False,0,1,61,0,29,0,False,364,2024
543793,33,CF,Striker,11,1611,5588080,False,0,False,1,0,61,0,29,0,False,364,2024
7914,13,LCB,Central Defender,35,1611,5588080,False,0,False,0,0,81,0,9,0,False,364,2024
365443,13,RCB,Central Defender,4,1611,5588080,False,0,False,0,0,81,0,9,0,False,364,2024
397174,10,RDMF,Midfielder,39,1611,5588080,False,0,False,0,0,84,0,6,0,False,364,2024
447228,64,SS,Striker,32,1616,5588080,False,0,False,0,0,0,64,64,0,True,364,2024
225947,79,RW,Winger,11,1616,5588080,False,0,False,0,0,0,79,79,0,True,364,2024
488326,79,CF,Striker,9,1616,5588080,False,0,False,0,0,0,79,79,0,True,364,2024
230020,90,LW,Winger,17,1616,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
383569,90,LB,Full Back,33,1616,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
14768,90,GK,Goalkeeper,1,1616,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
447424,90,LCB,Central Defender,3,1616,5588080,True,1,False,0,0,0,0,90,0,True,364,2024
286380,90,RCB,Central Defender,31,1616,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
1712,90,RB,Full Back,2,1616,5588080,False,0,False,0,0,0,0,90,0,True,364,2024
240445,90,RCMF,Midfielder,18,1616,5588080,True,1,False,0,0,0,91,91,0,True,364,2024
237269,90,LCMF,Midfielder,20,1616,5588080,False,0,False,0,0,0,91,91,0,True,364,2024
9624,30,RCMF,Midfielder,10,1616,5588080,True,1,False,0,0,64,0,26,0,False,364,2024
282267,15,RW,Winger,8,1616,5588080,False,0,False,0,0,79,0,11,0,False,364,2024
